path,_id,reaction,tpl_SMARTS_r1,tpl_SMARTS_r0,tpl_SMARTS_r0*,cat,solv0,solv1,reag0,reag1,reag2
4_4,36086178,O=S(=O)(N(c1ccccc1)[S:19](=[O:20])(=[O:21])[C:22]([F:23])([F:24])[F:25])C(F)(F)F.[CH3:1][CH:2]([c:3]1[cH:4][cH:5][cH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[N:13]([CH2:14][CH:15]1[CH2:16][C:17](=[O:18])[c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[O:32]1)[C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39]>>[CH3:1][CH:2]([c:3]1[cH:4][cH:5][cH:6][c:7]2[cH:8][cH:9][cH:10][cH:11][c:12]12)[N:13]([CH2:14][CH:15]1[CH:16]=[C:17]([O:18][S:19](=[O:20])(=[O:21])[C:22]([F:23])([F:24])[F:25])[c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]2[O:32]1)[C:33](=[O:34])[O:35][C:36]([CH3:37])([CH3:38])[CH3:39],[C:1]-[CH;D2;+0:2]=[C;H0;D3;+0:3](-[C:4])-[O;H0;D2;+0:5]-[S;H0;D4;+0:10](=[O;D1;H0:11])(=[O;D1;H0:12])-[C:7](-[F;D1;H0:6])(-[F;D1;H0:8])-[F;D1;H0:9]>>[C:1]-[CH2;D2;+0:2]-[C;H0;D3;+0:3](-[C:4])=[O;H0;D1;+0:5].[F;D1;H0:6]-[C:7](-[F;D1;H0:8])(-[F;D1;H0:9])-[S;H0;D4;+0:10](=[O;D1;H0:11])(=[O;D1;H0:12])-N(-c1:c:c:c:c:c:1)-[S;H0;D4;+0:10](=[O;D1;H0:11])(=[O;D1;H0:12])-[C:7](-[F;D1;H0:6])(-[F;D1;H0:8])-[F;D1;H0:9],[CH;D2;+0:1]=[C;H0;D3;+0:2]-[O;H0;D2;+0:3]-[S;H0;D4;+0:4]>>[CH2;D2;+0:1]-[C;H0;D3;+0:2]=[O;H0;D1;+0:3].[S;H0;D4;+0:4]-N(-[S;H0;D4;+0:4])-c1:c:c:c:c:c:1,C=COS>>CC=O.SN(S)c1ccccc1,,C1CCOC1,,C[Si](C)(C)[N-][Si](C)(C)C.[K+],,
4_5,65383083,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7](B(O)O)[cH:39][cH:40][c:41]1[CH3:42].[CH3:21][CH:20]([c:22]1[cH:23][cH:24][cH:25][c:26]2[cH:27][cH:28][cH:29][cH:30][c:31]12)[N:12]([CH2:11][CH:10]1[CH:9]=[C:8](OS(=O)(=O)C(F)(F)F)[c:38]2[cH:37][cH:36][cH:35][cH:34][c:33]2[O:32]1)[C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]2=[CH:9][CH:10]([CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH:20]([CH3:21])[c:22]3[cH:23][cH:24][cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]34)[O:32][c:33]3[cH:34][cH:35][cH:36][cH:37][c:38]32)[cH:39][cH:40][c:41]1[CH3:42],[C:2]=[C;H0;D3;+0:1](-[c:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:1](=[C:2])-[c:3].O-B(-O)-[c;H0;D3;+0:4](:[c:5]):[c:6],[C;H0;D3;+0:1]-[c;H0;D3;+0:2]>>F-C(-F)(-F)-S(=O)(=O)-O-[C;H0;D3;+0:1].O-B(-O)-[c;H0;D3;+0:2],Cc>>COS(=O)(=O)C(F)(F)F.cB(O)O,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,COCCOC,,O=C([O-])[O-].[Na+].[Na+],,
4_6,57153190,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([C:8]2=[CH:9][CH:10]([CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH:20]([CH3:21])[c:22]3[cH:23][cH:24][cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]34)[O:32][c:33]3[cH:34][cH:35][cH:36][cH:37][c:38]32)[cH:39][cH:40][c:41]1[CH3:42]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[CH2:9][CH:10]([CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH:20]([CH3:21])[c:22]3[cH:23][cH:24][cH:25][c:26]4[cH:27][cH:28][cH:29][cH:30][c:31]34)[O:32][c:33]3[cH:34][cH:35][cH:36][cH:37][c:38]32)[cH:39][cH:40][c:41]1[CH3:42],[#8:1]-[C:2]-[CH2;D2;+0:3]-[CH;D3;+0:4](-[C:5])-[c:6]>>[#8:1]-[C:2]-[CH;D2;+0:3]=[C;H0;D3;+0:4](-[C:5])-[c:6],[CH2;D2;+0:2]-[CH;D3;+0:1]>>[C;H0;D3;+0:1]=[CH;D2;+0:2],CC>>C=C,[Pd],CO,,[H][H],,
4_7,65383208,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[CH2:9][CH:10]([CH2:11][N:12]([C:46](=[O:39])[O:25][C:48]([CH3:27])([CH3:26])[CH3:68])[CH:13]([CH3:14])[c:15]3[cH:16][cH:17][cH:18][c:19]4[cH:20][cH:21][cH:22][cH:23][c:24]34)[O:60][c:61]3[cH:62][cH:63][cH:64][cH:65][c:66]32)[cH:32][cH:33][c:34]1[CH3:35]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([CH:8]2[CH2:9][CH:10]([CH2:11][NH:12][CH:13]([CH3:14])[c:15]3[cH:16][cH:17][cH:18][c:19]4[cH:20][cH:21][cH:22][cH:23][c:24]34)[O:25][c:26]3[cH:27][cH:28][cH:29][cH:30][c:31]32)[cH:32][cH:33][c:34]1[CH3:35].[CH3:36][O:37][C:38](=[O:39])[c:40]1[cH:41][c:42]([CH:43]2[CH2:44][CH:45]([CH2:46][NH:47][CH:48]([CH3:49])[c:50]3[cH:51][cH:52][cH:53][c:54]4[cH:55][cH:56][cH:57][cH:58][c:59]34)[O:60][c:61]3[cH:62][cH:63][cH:64][cH:65][c:66]32)[cH:67][cH:68][c:69]1[CH3:70],[C:2]-[NH;D2:1]>>C-C(-C)(-C)-O-C(=O)-[N;D3;+0:1]-[C:2],[NH2+;D2:1]>>C-C(-C)(-C)-O-C(=O)-[N;D3;+0:1],N>>CC(C)(C)OC(N)=O,,ClCCl,,Cl,,
4_8,65383230,C[O:34][C:32](=[O:33])[c:31]1[cH:30][c:5]([CH:6]2[CH2:7][CH:8]([CH2:9][NH:10][CH:11]([CH3:12])[c:13]3[cH:14][cH:15][cH:16][c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]34)[O:23][c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]32)[cH:4][cH:3][c:2]1[CH3:1]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]2[CH2:7][CH:8]([CH2:9][NH:10][CH:11]([CH3:12])[c:13]3[cH:14][cH:15][cH:16][c:17]4[cH:18][cH:19][cH:20][cH:21][c:22]34)[O:23][c:24]3[cH:25][cH:26][cH:27][cH:28][c:29]32)[cH:30][c:31]1[C:32](=[O:33])[OH:34],[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],[OH;D1;+0:1]>>C-[O;H0;D2;+0:1],O>>CO,,C1CCOC1,CO,[Li+].[OH-],O,
5_0,33527632,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:16][cH:15][c:10]([NH2:11])[c:7]([O:8][CH3:9])[cH:6]1.[Na+].[N:13]#[C:12][S-:14]>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([NH2:13])[s:14][c:15]2[cH:16]1,[NH2;D1;+0:1]-[c;H0;D3;+0:2]1:[n;H0;D2;+0:4]:[c:5]:[c;H0;D3;+0:6](:[c:7]):[s;H0;D2;+0:3]:1>>[N;H0;D1;+0:1]#[C;H0;D2;+0:2]-[S-;H0;D1:3].[NH2;D1;+0:4]-[c:5]:[cH;D2;+0:6]:[c:7],[NH2;D1;+0:1]-[c;H0;D3;+0:2](:[n;H0;D2;+0:4]):[s;H0;D2;+0:3]:[c;H0;D3;+0:5]>>[N;H0;D1;+0:1]#[C;H0;D2;+0:2]-[S-;H0;D1:3].[NH2;D1;+0:4].[cH;D2;+0:5],csc(N)n>>N.N#CS.c,,,,BrBr,CC(=O)O,
5_1,33527748,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12](N)[s:14][c:15]2[cH:16]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([Cl:13])[s:14][c:15]2[cH:16]1,[#16;a:2]:[c;H0;D3;+0:1]:[#7;a:3]>>N-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3],[c;H0;D3;+0:1]>>N-[c;H0;D3;+0:1],c>>cN,Cl[Cu]Cl,CC#N,,CC(C)CCON=O,Cl,
5_2,64590620,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12](Cl)[s:27][c:28]2[cH:29]1.[CH3:26][CH:25]1[CH2:24][N:16]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:15][CH2:14][NH:13]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([N:13]3[CH2:14][CH2:15][N:16]([C:17](=[O:18])[O:19][C:20]([CH3:21])([CH3:22])[CH3:23])[CH2:24][CH:25]3[CH3:26])[s:27][c:28]2[cH:29]1,[#16;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[N;H0;D3;+0:5](-[C:4])-[C:6]>>Cl-[c;H0;D3;+0:1](:[#16;a:2]):[#7;a:3].[C:4]-[NH;D2;+0:5]-[C:6],[N;H0;D3;+0:2]-[c;H0;D3;+0:1]>>Cl-[c;H0;D3;+0:1].[NH;D2;+0:2],cN>>N.cCl,,CC(=O)N(C)C,,O=C([O-])[O-].[Cs+].[Cs+],,
5_3,64590641,[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([N:13]3[CH2:14][CH2:15][N:16](C(=O)OC(C)(C)C)[CH2:17][CH:18]3[CH3:19])[s:20][c:21]2[cH:22]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([N:13]3[CH2:14][CH2:15][NH:16][CH2:17][CH:18]3[CH3:19])[s:20][c:21]2[cH:22]1,[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],[NH;D2;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1],N>>CC(C)(C)OC(N)=O,,C1COCCO1,,Cl,,
5_4,64590283,O=[CH:17][c:18]1[c:19](-[c:20]2[c:21]([Cl:22])[cH:23][cH:24][cH:25][c:26]2[Cl:27])[n:28][o:29][c:30]1[CH:31]1[CH2:32][CH2:33]1.[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([N:13]3[CH2:14][CH2:15][NH:16][CH2:34][CH:35]3[CH3:36])[s:37][c:38]2[cH:39]1>>[CH3:1][O:2][C:3](=[O:4])[c:5]1[cH:6][c:7]([O:8][CH3:9])[c:10]2[n:11][c:12]([N:13]3[CH2:14][CH2:15][N:16]([CH2:17][c:18]4[c:19](-[c:20]5[c:21]([Cl:22])[cH:23][cH:24][cH:25][c:26]5[Cl:27])[n:28][o:29][c:30]4[CH:31]4[CH2:32][CH2:33]4)[CH2:34][CH:35]3[CH3:36])[s:37][c:38]2[cH:39]1,[C:7]-[N;H0;D3;+0:8](-[C:9])-[CH2;D2;+0:1]-[c:2]1:[c:3]:[#7;a:4]:[#8;a:5]:[c:6]:1>>O=[CH;D2;+0:1]-[c:2]1:[c:3]:[#7;a:4]:[#8;a:5]:[c:6]:1.[C:7]-[NH;D2;+0:8]-[C:9],[CH2;D2;+0:1]-[N;H0;D3;+0:2]>>O=[CH;D2;+0:1].[NH;D2;+0:2],CN>>C=O.N,,ClCCl,,CC(=O)[O-].[Na+],CC(=O)O[BH-](OC(C)=O)OC(C)=O.[Na+],
5_5,64456417,C[O:8][C:6](=[O:7])[c:5]1[cH:4][c:3]([O:2][CH3:1])[c:38]2[n:37][c:12]([N:13]3[CH2:14][CH2:15][N:16]([CH2:17][c:18]4[c:19](-[c:20]5[c:21]([Cl:22])[cH:23][cH:24][cH:25][c:26]5[Cl:27])[n:28][o:29][c:30]4[CH:31]4[CH2:32][CH2:33]4)[CH2:34][CH:35]3[CH3:36])[s:11][c:10]2[cH:9]1>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6](=[O:7])[OH:8])[cH:9][c:10]2[s:11][c:12]([N:13]3[CH2:14][CH2:15][N:16]([CH2:17][c:18]4[c:19](-[c:20]5[c:21]([Cl:22])[cH:23][cH:24][cH:25][c:26]5[Cl:27])[n:28][o:29][c:30]4[CH:31]4[CH2:32][CH2:33]4)[CH2:34][CH:35]3[CH3:36])[n:37][c:38]12,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],[OH;D1;+0:1]>>C-[O;H0;D2;+0:1],O>>CO,,C1CCOC1,CO,[Na+].[OH-],,
6_0,4090082,[CH3:8][c:7]1[cH:9][cH:10][c:11]([CH3:12])[c:5]([NH2:4])[cH:6]1.[CH3:1][C:2](=[O:3])Cl>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([CH3:8])[cH:9][cH:10][c:11]1[CH3:12],[C;D1;H3:2]-[C;H0;D3;+0:1](=[O;D1;H0:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](-[C;D1;H3:2])=[O;D1;H0:3].[NH2;D1;+0:4]-[c:5],[C;H0;D3;+0:1]-[NH;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[NH2;D1;+0:2],CN>>CCl.N,,ClCCl,,CCN(CC)CC,,
6_1,351918,[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([CH3:8])[cH:9][cH:14][c:15]1[CH3:16].[O:11]=[S:10](=[O:12])(O)[Cl:13]>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([CH3:8])[c:9]([S:10](=[O:11])(=[O:12])[Cl:13])[cH:14][c:15]1[CH3:16],[Cl;D1;H0:2]-[S;H0;D4;+0:1](=[O;D1;H0:3])(=[O;D1;H0:4])-[c;H0;D3;+0:6](:[c:5]):[c:7]>>O-[S;H0;D4;+0:1](-[Cl;D1;H0:2])(=[O;D1;H0:3])=[O;D1;H0:4].[c:5]:[cH;D2;+0:6]:[c:7],[S;H0;D4;+0:1]-[c;H0;D3;+0:2]>>O-[S;H0;D4;+0:1].[cH;D2;+0:2],cS>>OS.c,,,,,,
6_2,63295123,[CH3:15][CH:14]([NH2:13])[CH:16]1[CH2:17][CH2:18][N:19]([C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[CH2:27][CH2:28]1.[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([CH3:8])[c:9]([S:10](=[O:11])(=[O:12])Cl)[cH:29][c:30]1[CH3:31]>>[CH3:1][C:2](=[O:3])[NH:4][c:5]1[cH:6][c:7]([CH3:8])[c:9]([S:10](=[O:11])(=[O:12])[NH:13][CH:14]([CH3:15])[CH:16]2[CH2:17][CH2:18][N:19]([C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[CH2:27][CH2:28]2)[cH:29][c:30]1[CH3:31],[C:5]-[NH;D2;+0:6]-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4]>>Cl-[S;H0;D4;+0:1](=[O;D1;H0:2])(=[O;D1;H0:3])-[c:4].[C:5]-[NH2;D1;+0:6],[NH;D2;+0:2]-[S;H0;D4;+0:1]>>Cl-[S;H0;D4;+0:1].[NH2;D1;+0:2],NS>>N.SCl,,ClCCl,,CCN(CC)CC,,
6_3,63295124,CC(=O)[NH:28][c:27]1[cH:26][c:24]([CH3:25])[c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[cH:3][c:2]1[CH3:1]>>[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[c:24]([CH3:25])[cH:26][c:27]1[NH2:28],[NH2;D1;+0:1]-[c:2]>>C-C(=O)-[NH;D2;+0:1]-[c:2],[NH2;D1;+0:1]>>C-C(=O)-[NH;D2;+0:1],N>>CC(N)=O,,CO,,[Na+].[OH-],,
6_4,63295130,[CH3:37][c:36]1[cH:35][cH:34][cH:33][cH:32][c:31]1[C:29](=[O:30])Cl.[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[c:24]([CH3:25])[cH:26][c:27]1[NH2:28]>>[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22][CH2:23]2)[c:24]([CH3:25])[cH:26][c:27]1[NH:28][C:29](=[O:30])[c:31]1[cH:32][cH:33][cH:34][cH:35][c:36]1[CH3:37],[O;D1;H0:2]=[C;H0;D3;+0:1](-[c:3])-[NH;D2;+0:4]-[c:5]>>Cl-[C;H0;D3;+0:1](=[O;D1;H0:2])-[c:3].[NH2;D1;+0:4]-[c:5],[C;H0;D3;+0:1]-[NH;D2;+0:2]>>Cl-[C;H0;D3;+0:1].[NH2;D1;+0:2],CN>>CCl.N,CN(C)c1ccncc1,ClC(Cl)Cl,,CCN(CC)CC,,
6_5,63295131,[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14](C(=O)OC(C)(C)C)[CH2:15][CH2:16]2)[c:17]([CH3:18])[cH:19][c:20]1[NH:21][C:22](=[O:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[CH3:30]>>[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][NH:14][CH2:15][CH2:16]2)[c:17]([CH3:18])[cH:19][c:20]1[NH:21][C:22](=[O:23])[c:24]1[cH:25][cH:26][cH:27][cH:28][c:29]1[CH3:30],[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],[NH;D2;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1],N>>CC(C)(C)OC(N)=O,,ClCCl,,Cl,,
6_6,63295133,O=CO.[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][NH:14][CH2:16][CH2:17]2)[c:18]([CH3:19])[cH:20][c:21]1[NH:22][C:23](=[O:24])[c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1[CH3:31].[CH2:15]=O>>[CH3:1][c:2]1[cH:3][c:4]([S:5](=[O:6])(=[O:7])[NH:8][CH:9]([CH3:10])[CH:11]2[CH2:12][CH2:13][N:14]([CH3:15])[CH2:16][CH2:17]2)[c:18]([CH3:19])[cH:20][c:21]1[NH:22][C:23](=[O:24])[c:25]1[cH:26][cH:27][cH:28][cH:29][c:30]1[CH3:31],[C:2]-[N;H0;D3;+0:3](-[C:4])-[CH3;D1;+0:1]>>O=[CH2;D1;+0:1].[C:2]-[NH;D2;+0:3]-[C:4],[CH3;D1;+0:1]-[N;H0;D3;+0:2]>>O=[CH2;D1;+0:1].[NH;D2;+0:2],CN>>C=O.N,,O=CO,,,,
