path,_id,reaction,tpl_SMARTS_r1,tpl_SMARTS_r0,tpl_SMARTS_r0*,cat,solv0,solv1,reag0,reag1,reag2
7_0,22986078,[CH3:1][c:2]1[cH:3][cH:4][c:5]([C:6](=O)[OH:7])[c:8]([Cl:9])[n:10]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][OH:7])[c:8]([Cl:9])[n:10]1,[#7;a:5]:[c:4]:[c:3]-[CH2;D2;+0:1]-[O;D1;H1:2]>>O=[C;H0;D3;+0:1](-[O;D1;H1:2])-[c:3]:[c:4]:[#7;a:5],[CH2;D2;+0:1]>>O=[C;H0;D3;+0:1],C>>C=O,,C1CCOC1C,,[Na+].[H-][Al+]([H-])(OCCOC)OCCOC,,
7_1,63120659,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][OH:7])[c:12]([Cl:13])[n:14]1.[CH3:9][S:8](=[O:10])(=[O:11])Cl>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][O:7][S:8]([CH3:9])(=[O:10])=[O:11])[c:12]([Cl:13])[n:14]1,[C:5]-[O;H0;D2;+0:6]-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4]>>Cl-[S;H0;D4;+0:1](-[C;D1;H3:2])(=[O;D1;H0:3])=[O;D1;H0:4].[C:5]-[OH;D1;+0:6],[O;H0;D2;+0:2]-[S;H0;D4;+0:1]>>Cl-[S;H0;D4;+0:1].[OH;D1;+0:2],OS>>O.SCl,,ClCCl,,CCN(CC)CC,,
7_2,63120624,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6]OS(C)(=O)=O)[c:8]([Cl:9])[n:10]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][I:7])[c:8]([Cl:9])[n:10]1,[#7;a:4]:[c:3]:[c:2]-[CH2;D2;+0:1]>>C-S(=O)(=O)-O-[CH2;D2;+0:1]-[c:2]:[c:3]:[#7;a:4],[CH2;D2;+0:1]>>C-S(=O)(=O)-O-[CH2;D2;+0:1],C>>COS(C)(=O)=O,,CC(C)=O,Cc1ccccc1,[I-].[Na+],,
7_3,59633493,[CH3:1][CH2:2][O:3][C:4](=[O:5])Cl.[CH3:11][CH2:10][O:9][C:7](=[O:8])[CH:6]1[CH2:12][CH2:13][N:14]([CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH2:12][CH2:13][N:14]([CH2:15][c:16]2[cH:17][cH:18][cH:19][cH:20][cH:21]2)[CH2:22]1,[#7:4]-[C:5]-[C;H0;D4;+0:6](-[C:7])(-[C:8](-[#8:9])=[O;D1;H0:10])-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3]>>Cl-[C;H0;D3;+0:1](-[#8:2])=[O;D1;H0:3].[#7:4]-[C:5]-[CH;D3;+0:6](-[C:7])-[C:8](-[#8:9])=[O;D1;H0:10],[C;H0;D3;+0:1]-[C;H0;D4;+0:2]>>Cl-[C;H0;D3;+0:1].[CH;D3;+0:2],CC>>C.CCl,,C1CCOC1C,,CC(C)[N-]C(C)C.[Li+],,
7_4,59633526,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH2:12][CH2:13][N:14](Cc2ccccc2)[CH2:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH2:12][CH2:13][NH:14][CH2:15]1,[C:1]-[NH;D2;+0:2]-[C:3]>>[C:1]-[N;H0;D3;+0:2](-[C:3])-C-c1:c:c:c:c:c:1,[NH;D2;+0:1]>>[N;H0;D3;+0:1]-C-c1:c:c:c:c:c:1,N>>NCc1ccccc1,[Pd],CCO,,[H][H],,
7_5,59633365,[CH3:19][C:18]([CH3:20])([CH3:21])[O:17][C:15](=[O:16])OC(=O)OC(C)(C)C.[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH2:12][CH2:13][NH:14][CH2:22]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9][CH2:10][CH3:11])[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22]1,[C:8]-[N;H0;D3;+0:9](-[C:10])-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7]>>C-C(-C)(-C)-O-C(=O)-O-[C;H0;D3;+0:1](=[O;D1;H0:2])-[#8:3]-[C:4](-[C;D1;H3:5])(-[C;D1;H3:6])-[C;D1;H3:7].[C:8]-[NH;D2;+0:9]-[C:10],[C;H0;D3;+0:1]-[N;H0;D3;+0:2]>>C-O-[C;H0;D3;+0:1].[NH;D2;+0:2],CN>>COC.N,,ClCCl,,CCN(C(C)C)C(C)C,,
7_6,59634093,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[O:9]CC)[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:7](=[O:8])[OH:9])[CH2:10][CH2:11][N:12]([C:13](=[O:14])[O:15][C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20]1,[O;D1;H0:3]=[C:2]-[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1]-[C:2]=[O;D1;H0:3],[OH;D1;+0:1]>>C-C-[O;H0;D2;+0:1],O>>CCO,,CO,,[K+].[OH-],,
7_7,57121040,[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([C:8](=[O:9])O)[CH2:18][CH2:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[CH2:28]1.[OH:10][CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1.CC[N:7](CC)CC>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[C:6]1([NH:7][C:8](=[O:9])[O:10][CH2:11][c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[CH2:18][CH2:19][N:20]([C:21](=[O:22])[O:23][C:24]([CH3:25])([CH3:26])[CH3:27])[CH2:28]1,[#7:7]-[C:6]-[C;H0;D4;+0:4](-[C:5])(-[NH;D2;+0:1]-[C;H0;D3;+0:2](=[O;D1;H0:3])-[O;H0;D2;+0:12]-[C:11])-[C:8](-[#8:9])=[O;D1;H0:10]>>C-C-[N;H0;D3;+0:1](-C-C)-C-C.O-[C;H0;D3;+0:2](=[O;D1;H0:3])-[C;H0;D4;+0:4](-[C:5])(-[C:6]-[#7:7])-[C:8](-[#8:9])=[O;D1;H0:10].[C:11]-[OH;D1;+0:12],[CH;D3;+0:3]-[NH;D2;+0:1]-[C;H0;D3;+0:2]-[O;H0;D2;+0:4]>>C-C-[N;H0;D3;+0:1](-C-C)-[CH2;D2;+0:2]-C.O-C(=O)-[CH;D3;+0:3].[OH;D1;+0:4],CNCO>>CC(=O)O.CCN(CC)CC.O,,Cc1ccccc1,,[N-]=[N+]=NP(=O)(c1ccccc1)c1ccccc1,,
7_8,59634101,CCO[C:12](=[O:13])[C:11]1([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:10][CH2:9][N:8]([C:6](=[O:7])[O:5][C:2]([CH3:1])([CH3:3])[CH3:4])[CH2:25]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]([CH2:12][OH:13])([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25]1,[C:2]-[CH2;D2;+0:1]-[OH;D1;+0:3]>>C-C-O-[C;H0;D3;+0:1](-[C:2])=[O;H0;D1;+0:3],[CH2;D2;+0:1]-[OH;D1;+0:2]>>C-C-O-[C;H0;D3;+0:1]=[O;H0;D1;+0:2],CO>>CCOC=O,,C1CCOC1,,[BH4-].[Li+],,
7_9,59633514,[CH3:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][I:1])[c:27]([Cl:28])[n:29]1.[cH:18]1[cH:17][cH:16][c:15]([P:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[cH:20][cH:19]1>>[I-:1].[CH3:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][P+:8]([c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)[c:21]2[cH:22][cH:23][cH:24][cH:25][cH:26]2)[c:27]([Cl:28])[n:29]1,[C:1]-[CH2;D2;+0:2]-[P+;H0;D4:5](-[c:4])(-[c:6])-[c:7]>>[C:1]-[CH2;D2;+0:2]-[I;H0;D1;+0:3].[c:4]-[P;H0;D3;+0:5](-[c:6])-[c:7],[CH2;D2;+0:1]-[P+;H0;D4:3]>>[CH2;D2;+0:1]-[I;H0;D1;+0:2].[P;H0;D3;+0:3],CP>>CI.P,,Cc1ccccc1,,,,
7_10,59634104,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]([CH2:12][OH:13])([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][C:11]([CH:12]=[O:13])([NH:14][C:15](=[O:16])[O:17][CH2:18][c:19]2[cH:20][cH:21][cH:22][cH:23][cH:24]2)[CH2:25]1,[C:1]-[CH;D2;+0:2]=[O;H0;D1;+0:3]>>[C:1]-[CH2;D2;+0:2]-[OH;D1;+0:3],[CH;D2;+0:1]=[O;H0;D1;+0:2]>>[CH2;D2;+0:1]-[OH;D1;+0:2],C=O>>CO,,ClCCl,,CCN(CC)CC,O=S(=O)=O.c1ccncc1,
7_11,63120484,[I-].[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][P+](c2ccccc2)(c2ccccc2)c2ccccc2)[c:31]([Cl:32])[n:33]1.[CH3:28][C:26]([CH3:27])([CH3:29])[O:25][C:23](=[O:24])[N:22]1[CH2:21][CH2:20][C:8]([CH:7]=O)([NH:9][C:10](=[O:11])[O:12][CH2:13][c:14]2[cH:15][cH:16][cH:17][cH:18][cH:19]2)[CH2:30]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][C:8]2([NH:9][C:10](=[O:11])[O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:20][CH2:21][N:22]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[CH2:30]2)[c:31]([Cl:32])[n:33]1,[#7;a:3]:[c:4]:[c:5]-[CH;D2;+0:6]=[CH;D2;+0:1]-[C:2]>>O=[CH;D2;+0:1]-[C:2].[#7;a:3]:[c:4]:[c:5]-[CH2;D2;+0:6]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,[CH;D2;+0:2]=[CH;D2;+0:1]>>O=[CH;D2;+0:1].[CH2;D2;+0:2]-[P+](-c1:c:c:c:c:c:1)(-c1:c:c:c:c:c:1)-c1:c:c:c:c:c:1,C=C>>C=O.C[P+](c1ccccc1)(c1ccccc1)c1ccccc1,,CS(C)=O,,O=C([O-])[O-].[K+].[K+],,
7_12,59633546,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH:6]=[CH:7][C:8]2([NH:9][C:10](=[O:11])[O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:20][CH2:21][N:22]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[CH2:30]2)[c:31]([Cl:32])[n:33]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:6][CH2:7][C:8]2([NH:9][C:10](=[O:11])[O:12][CH2:13][c:14]3[cH:15][cH:16][cH:17][cH:18][cH:19]3)[CH2:20][CH2:21][N:22]([C:23](=[O:24])[O:25][C:26]([CH3:27])([CH3:28])[CH3:29])[CH2:30]2)[c:31]([Cl:32])[n:33]1,[#7;a:1]:[c:2]:[c:3]-[CH2;D2;+0:4]-[CH2;D2;+0:5]-[C:6]>>[#7;a:1]:[c:2]:[c:3]-[CH;D2;+0:4]=[CH;D2;+0:5]-[C:6],[CH2;D2;+0:1]-[CH2;D2;+0:2]>>[CH;D2;+0:1]=[CH;D2;+0:2],CC>>C=C,[Rh],CCO,,[H][H],,
7_13,59634123,[CH3:1][c:2]1[cH:3][cH:4][c:5]([CH2:11][CH2:10][C:9]2([NH:8]C(=O)OCc3ccccc3)[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22]2)[c:6](Cl)[n:7]1>>[CH3:1][c:2]1[cH:3][cH:4][c:5]2[c:6]([n:7]1)[NH:8][C:9]1([CH2:10][CH2:11]2)[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22]1,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[NH;D2;+0:4]-[C:5]>>Cl-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].O=C(-O-C-c1:c:c:c:c:c:1)-[NH;D2;+0:4]-[C:5],[N;H0;D3;+0:3]-[c;H0;D3;+0:1].[NH2;D1;+0:2]>>Br-[c;H0;D3;+0:1].O=C(-[NH;D2;+0:2])-O-C-c1:c:c:c:c:c:1.[NH;D2;+0:3],N.cN>>N.NC(=O)OCc1ccccc1.cBr,O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.[Pd].[Pd],C1COCCO1,,,,
7_14,59634025,[CH3:1][c:2]1[cH:7][cH:6][c:5]2[c:4]([n:3]1)[NH:23][C:11]1([CH2:10][CH2:9]2)[CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22]1.CC1(C)C(=O)N(Br)C(=O)N1[Br:8]>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1[Br:8])[CH2:9][CH2:10][C:11]1([CH2:12][CH2:13][N:14]([C:15](=[O:16])[O:17][C:18]([CH3:19])([CH3:20])[CH3:21])[CH2:22]1)[NH:23]2,[#7;a:2]:[c:3]:[c;H0;D3;+0:4](-[Br;H0;D1;+0:1]):[c:5]>>Br-N1-C(=O)-N(-[Br;H0;D1;+0:1])-C(-C)(-C)-C-1=O.[#7;a:2]:[c:3]:[cH;D2;+0:4]:[c:5],[Br;H0;D1;+0:1]-[c;H0;D3;+0:2]>>Br-N1-C(=O)-N(-[Br;H0;D1;+0:1])-C(-C)(-C)-C-1=O.[cH;D2;+0:2],cBr>>CC1(C)C(=O)N(Br)C(=O)N1Br.c,,CCOC(C)=O,,,,
7_15,59633499,[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1Br)[CH2:16][CH2:17][C:18]1([CH2:19][CH2:20][N:21]([C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH2:29]1)[NH:30]2.[CH3:13][C:11]1([CH3:12])[CH2:10][O:9][B:8](B2OCC(C)(C)CO2)[O:15][CH2:14]1>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1[B:8]1[O:9][CH2:10][C:11]([CH3:12])([CH3:13])[CH2:14][O:15]1)[CH2:16][CH2:17][C:18]1([CH2:19][CH2:20][N:21]([C:22](=[O:23])[O:24][C:25]([CH3:26])([CH3:27])[CH3:28])[CH2:29]1)[NH:30]2,[#7;a:4]:[c:3]:[c;H0;D3;+0:1](:[c:2])-[B;H0;D3;+0:5](-[#8:6])-[#8:7]>>Br-[c;H0;D3;+0:1](:[c:2]):[c:3]:[#7;a:4].C-C1(-C)-C-O-B(-[B;H0;D3;+0:5](-[#8:6])-[#8:7])-O-C-1,[B;H0;D3;+0:2]-[c;H0;D3;+0:1]>>Br-[c;H0;D3;+0:1].[B;H0;D3;+0:2]-[B;H0;D3;+0:2],Bc>>BB.cBr,[Cl-].[Cl-].[Fe+2].[Pd+2].c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1.c1ccc(P(c2ccccc2)c2ccc[cH-]2)cc1,C1COCCO1,,O=C([O-])[O-].[Na+].[Na+],,
7_16,59633325,[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1B1OCC(C)(C)CO1)[CH2:14][CH2:15][C:16]1([CH2:17][CH2:18][N:19]([C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[CH2:27]1)[NH:28]2.Br[c:8]1[n:9][cH:10][cH:11][cH:12][n:13]1>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1-[c:8]1[n:9][cH:10][cH:11][cH:12][n:13]1)[CH2:14][CH2:15][C:16]1([CH2:17][CH2:18][N:19]([C:20](=[O:21])[O:22][C:23]([CH3:24])([CH3:25])[CH3:26])[CH2:27]1)[NH:28]2,[#7;a:2]:[c;H0;D3;+0:1](:[#7;a:3])-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[#7;a:3].C-C1(-C)-C-O-B(-[c;H0;D3;+0:4](:[c:5]):[c:6]:[#7;a:7])-O-C-1,[c;H0;D3;+0:2]-[c;H0;D3;+0:1]>>Br-[c;H0;D3;+0:1].C-C1(-C)-C-O-B(-[c;H0;D3;+0:2])-O-C-1,c-c>>cB1OCC(C)(C)CO1.cBr,c1ccc([P](c2ccccc2)(c2ccccc2)[Pd]([P](c2ccccc2)(c2ccccc2)c2ccccc2)([P](c2ccccc2)(c2ccccc2)c2ccccc2)[P](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,C1COCCO1,,O=C([O-])[O-].[Na+].[Na+],,
7_17,59633281,[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1-[c:8]1[n:9][cH:10][cH:11][cH:12][n:13]1)[CH2:14][CH2:15][C:16]1([CH2:17][CH2:18][N:19](C(=O)OC(C)(C)C)[CH2:20]1)[NH:21]2>>[CH3:1][c:2]1[n:3][c:4]2[c:5]([cH:6][c:7]1-[c:8]1[n:9][cH:10][cH:11][cH:12][n:13]1)[CH2:14][CH2:15][C:16]1([CH2:17][CH2:18][NH:19][CH2:20]1)[NH:21]2,[C:2]-[NH;D2;+0:1]-[C:3]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1](-[C:2])-[C:3],[NH;D2;+0:1]>>C-C(-C)(-C)-O-C(=O)-[N;H0;D3;+0:1],N>>CC(C)(C)OC(N)=O,,ClCCl,CO,Cl,,
7_18,59633326,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]([CH3:7])[C:8](=[O:9])O)[c:31]([F:32])[cH:33][n:34]1.[CH3:26][c:25]1[n:27][c:28]2[c:16]([cH:17][c:18]1-[c:19]1[n:20][cH:21][cH:22][cH:23][n:24]1)[CH2:15][CH2:14][C:13]1([CH2:12][CH2:11][NH:10][CH2:30]1)[NH:29]2>>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH:6]([CH3:7])[C:8](=[O:9])[N:10]2[CH2:11][CH2:12][C:13]3([CH2:14][CH2:15][c:16]4[cH:17][c:18](-[c:19]5[n:20][cH:21][cH:22][cH:23][n:24]5)[c:25]([CH3:26])[n:27][c:28]4[NH:29]3)[CH2:30]2)[c:31]([F:32])[cH:33][n:34]1,[C:4]-[N;H0;D3;+0:5](-[C:6])-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3]>>O-[C;H0;D3;+0:1](-[C:2])=[O;D1;H0:3].[C:4]-[NH;D2;+0:5]-[C:6],[C;H0;D3;+0:1]-[N;H0;D3;+0:2]>>O-[C;H0;D3;+0:1].[NH;D2;+0:2],CN>>CO.N,,C1CCOC1,,CCCP1(=O)OP(=O)(CCC)OP(=O)(CCC)O1,CCN(C(C)C)C(C)C,
9_0,35034612,[CH3:7][c:6]1[cH:5][cH:4][c:3](Br)[n:9][cH:8]1.[K+].[CH2:1]=[CH:2][B-](F)(F)F>>[CH2:1]=[CH:2][c:3]1[cH:4][cH:5][c:6]([CH3:7])[cH:8][n:9]1,[#7;a:2]:[c;H0;D3;+0:1](:[c:3])-[CH;D2;+0:4]=[C;D1;H2:5]>>Br-[c;H0;D3;+0:1](:[#7;a:2]):[c:3].F-[B-](-F)(-F)-[CH;D2;+0:4]=[C;D1;H2:5],[CH;D2;+0:2]-[c;H0;D3;+0:1]>>Br-[c;H0;D3;+0:1].F-[B-](-F)(-F)-[CH;D2;+0:2],Cc>>C[B-](F)(F)F.cBr,Cl[Pd]Cl.[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1,CCO,,,,
9_1,62797454,[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]=[N+]=[N-].[CH2:7]=[CH:8][c:9]1[cH:10][cH:11][c:12]([CH3:13])[cH:14][n:15]1>>[CH3:1][CH2:2][O:3][C:4](=[O:5])[CH:6]1[CH2:7][CH:8]1[c:9]1[cH:10][cH:11][c:12]([CH3:13])[cH:14][n:15]1,[#7;a:1]:[c:2]-[CH;D3;+0:3]1-[CH2;D2;+0:4]-[CH;D3;+0:8]-1-[C:6](-[#8:5])=[O;D1;H0:7]>>[#7;a:1]:[c:2]-[CH;D2;+0:3]=[CH2;D1;+0:4].[#8:5]-[C:6](=[O;D1;H0:7])-[CH;D2;+0:8]=[N+]=[N-],[CH2;D2;+0:1]1-[CH;D3;+0:3]-[CH;D3;+0:2]-1>>[CH2;D1;+0:1]=[CH;D2;+0:2].[CH;D2;+0:3]=[N+]=[N-],C1CC1>>C=C.C=[N+]=[N-],,Cc1ccccc1,,,,
